input,R,G,B
0,20,17,19
1,20,17,19
2,20,17,19
3,20,17,19
4,20,17,19
5,20,17,19
6,20,17,19
7,20,17,19
8,20,17,19
9,20,17,19
10,20,17,20
11,20,17,20
12,21,17,21
13,21,17,21
14,22,17,21
15,23,17,22
16,24,17,22
17,24,17,22
18,24,17,22
19,24,17,22
20,25,17,22
21,25,17,22
22,25,17,22
23,25,17,22
24,25,18,22
25,25,18,22
26,25,18,22
27,25,18,22
28,25,18,22
29,25,18,22
30,25,19,22
31,25,19,23
32,25,20,23
33,25,20,23
34,25,20,24
35,25,20,24
36,25,20,24
37,25,21,24
38,25,21,24
39,25,21,24
40,25,21,24
41,25,21,24
42,25,21,24
43,25,21,24
44,25,21,24
45,25,21,24
46,25,21,25
47,25,22,25
48,25,22,25
49,25,22,25
50,25,22,25
51,26,22,25
52,26,22,25
53,26,22,25
54,26,22,25
55,26,22,25
56,26,22,25
57,26,22,25
58,26,22,26
59,26,22,26
60,26,23,27
61,26,23,27
62,26,23,28
63,26,23,28
64,26,23,29
65,26,23,29
66,26,23,29
67,26,23,30
68,26,23,30
69,26,23,30
70,26,23,30
71,26,23,30
72,26,23,31
73,26,23,31
74,26,23,31
75,26,23,32
76,26,23,32
77,26,23,32
78,26,23,32
79,26,23,32
80,26,23,32
81,26,23,32
82,26,23,32
83,26,23,32
84,26,23,32
85,26,23,32
86,26,23,32
87,26,23,32
88,26,23,32
89,26,23,32
90,26,23,32
91,26,23,32
92,26,23,32
93,26,23,32
94,27,23,32
95,27,24,32
96,28,24,32
97,28,24,32
98,28,24,32
99,28,24,32
100,29,24,32
101,29,25,32
102,29,25,32
103,29,25,33
104,29,25,33
105,29,25,33
106,29,25,33
107,29,26,33
108,29,26,34
109,29,26,34
110,29,26,35
111,29,26,36
112,29,26,37
113,29,26,37
114,29,26,38
115,29,26,38
116,29,26,39
117,29,26,39
118,29,26,39
119,29,26,40
120,29,26,40
121,29,26,40
122,29,26,40
123,29,26,40
124,29,26,40
125,29,26,40
126,29,26,40
127,29,27,40
128,29,27,40
129,29,27,40
130,29,27,40
131,29,27,40
132,29,27,40
133,29,27,40
134,29,27,40
135,29,27,40
136,29,28,40
137,29,28,40
138,29,28,40
139,29,28,40
140,29,28,40
141,29,28,41
142,29,28,41
143,29,28,41
144,29,28,42
145,29,28,42
146,29,28,42
147,29,28,42
148,30,28,42
149,30,28,42
150,30,28,42
151,31,28,42
152,31,28,42
153,31,28,42
154,31,28,42
155,32,28,42
156,32,28,43
157,32,28,43
158,33,28,43
159,33,28,44
160,34,28,44
161,35,29,44
162,36,30,44
163,36,30,44
164,36,31,44
165,37,32,44
166,37,33,44
167,37,33,44
168,37,33,44
169,37,34,44
170,37,34,44
171,37,34,45
172,37,34,45
173,37,34,47
174,37,35,48
175,37,35,49
176,37,35,49
177,37,35,50
178,37,35,50
179,37,35,50
180,37,35,50
181,38,36,50
182,38,36,50
183,39,37,50
184,39,37,50
185,39,38,51
186,39,38,51
187,39,38,51
188,39,38,51
189,39,38,51
190,39,38,52
191,39,39,52
192,39,39,52
193,39,39,52
194,39,39,52
195,39,39,52
196,39,39,52
197,39,39,52
198,39,39,52
199,40,39,53
200,40,39,53
201,41,39,54
202,41,39,55
203,42,40,56
204,42,41,57
205,42,42,58
206,42,43,58
207,42,44,58
208,42,44,58
209,42,45,58
210,43,45,58
211,43,46,58
212,44,47,58
213,44,47,58
214,45,48,58
215,46,48,58
216,47,49,58
217,47,49,58
218,48,49,58
219,48,49,58
220,48,49,58
221,48,49,58
222,48,50,58
223,48,50,58
224,48,51,58
225,49,51,58
226,49,52,58
227,49,53,58
228,49,53,58
229,49,54,58
230,50,54,58
231,50,54,59
232,51,54,59
233,52,55,59
234,53,57,59
235,55,58,59
236,56,59,59
237,57,60,59
238,58,61,59
239,60,61,59
240,62,61,59
241,63,61,59
242,65,62,59
243,66,62,60
244,67,63,62
245,68,63,65
246,69,64,68
247,70,65,72
248,70,66,74
249,71,67,76
250,72,70,77
251,74,73,77
252,76,76,77
253,78,77,78
254,79,78,78
255,80,79,78
